fig|381124.6.peg.10281	GRMZM2G159597	GRMZM2G159597_T01
fig|381124.6.peg.10282	GRMZM2G115775	GRMZM2G115775_T01
fig|381124.6.peg.10283	GRMZM2G441531	GRMZM2G441531_T01
fig|381124.6.peg.10284	GRMZM2G141355	GRMZM2G141355_T01
fig|381124.6.peg.10285	GRMZM2G399421	GRMZM2G399421_T01
fig|381124.6.peg.10286	GRMZM2G030628	GRMZM2G030628_T01
fig|381124.6.peg.10287	GRMZM2G702468	GRMZM2G702468_T01
fig|381124.6.peg.10288	GRMZM2G352132	GRMZM2G352132_T01
fig|381124.6.peg.10289	GRMZM2G300258	GRMZM2G300258_T01
fig|381124.6.peg.1029	GRMZM2G018612	GRMZM2G018612_T01
fig|381124.6.peg.10290	GRMZM2G426888	GRMZM2G426888_T01
fig|381124.6.peg.10291	GRMZM2G126264	GRMZM2G126264_T01
fig|381124.6.peg.10292	GRMZM2G417402	GRMZM2G417402_T01
fig|381124.6.peg.10293	GRMZM2G177284	GRMZM2G177284_T01
fig|381124.6.peg.10294	GRMZM5G815757	GRMZM5G815757_T01
fig|381124.6.peg.10295	GRMZM2G115077	GRMZM2G115077_T01
fig|381124.6.peg.10296	GRMZM5G865550	GRMZM5G865550_T01
fig|381124.6.peg.10297	GRMZM5G856583	GRMZM5G856583_T01
fig|381124.6.peg.10298	GRMZM2G075851	GRMZM2G075851_T01
fig|381124.6.peg.10299	GRMZM2G359986	GRMZM2G359986_T01
fig|381124.6.peg.103	GRMZM2G323422	GRMZM2G323422_T01
fig|381124.6.peg.1030	GRMZM5G818105	GRMZM5G818105_T01
fig|381124.6.peg.10300	GRMZM2G059618	GRMZM2G059618_T03
fig|381124.6.peg.10301	GRMZM2G059643	GRMZM2G059643_T01
fig|381124.6.peg.10302	GRMZM2G400129	GRMZM2G400129_T01
fig|381124.6.peg.10303	GRMZM2G081583	GRMZM2G081583_T04
fig|381124.6.peg.10304	GRMZM2G375733	GRMZM2G375733_T01
fig|381124.6.peg.10305	GRMZM2G126128	GRMZM2G126128_T01
fig|381124.6.peg.10306	GRMZM2G113790	GRMZM2G113790_T01
fig|381124.6.peg.10307	GRMZM5G853822	GRMZM5G853822_T01
fig|381124.6.peg.10308	GRMZM2G063188	GRMZM2G063188_T02
fig|381124.6.peg.10309	GRMZM2G133394	GRMZM2G133394_T01
fig|381124.6.peg.1031	GRMZM2G005664	GRMZM2G005664_T01
fig|381124.6.peg.10310	GRMZM2G173747	GRMZM2G173747_T01
fig|381124.6.peg.10311	GRMZM2G329962	GRMZM2G329962_T01
